Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	65	68	46	68	64	81	
		Student 1	18	47	62	98	89	97	
		Student 2	58	58	69	47	37	42	
		Student 3	52	88	66	47	94	33	
		Student 4	47	32	18	30	57	90	
		Student 5	88	60	42	14	52	37	
		Student 6	47	60	77	96	65	53	
		Student 7	30	10	85	89	46	24	
		Student 8	36	44	28	97	12	47	
		Student 9	11	86	32	46	49	28	
		Student 10	43	40	81	37	52	70	
		Student 11	41	24	54	29	79	47	
		Student 12	64	97	51	51	57	28	
		Student 13	33	47	25	52	49	70	
		Student 14	34	14	61	25	86	48	
		Student 15	85	30	33	77	64	22	
		Student 16	43	32	42	21	89	41	
		Student 17	70	29	54	89	22	79	
		Student 18	91	96	95	45	43	41	
		Student 19	21	33	32	44	79	94	
		Student 20	87	22	17	85	99	43	
		Student 21	81	30	83	82	51	45	
		Student 22	82	87	63	25	56	11	
		Student 23	40	78	45	31	34	90	
		Student 24	35	42	97	81	26	11	
		Student 25	11	88	85	15	17	27	
		Student 26	86	97	74	61	87	51	
		Student 27	87	10	56	64	18	16	
		Student 28	46	20	94	64	48	22	
		Student 29	80	83	39	91	96	30	
		Student 30	28	71	84	86	28	83	
		Student 31	31	93	46	16	74	62	
		Student 32	74	61	84	50	61	26	
		Student 33	32	79	95	42	79	76	
		Student 34	59	49	90	67	67	52	
		Student 35	53	70	22	21	53	79	
		Student 36	10	94	70	36	19	12	
		Student 37	90	89	41	55	69	14	
		Student 38	47	88	44	14	34	46	
		Student 39	39	75	94	54	25	40	
		Student 40	16	83	64	30	10	40	
		Student 41	43	13	91	80	32	38	
		Student 42	45	72	72	41	57	51	
		Student 43	63	43	23	17	32	27	
		Student 44	24	78	31	86	82	22	
		Student 45	76	70	61	32	69	45	
		Student 46	87	21	35	77	74	90	
		Student 47	52	51	32	45	66	63	
		Student 48	60	81	84	69	76	23	
		Student 49	51	49	18	80	17	21	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	76	24	39	14	49	70	
		Student 1	88	79	69	76	24	46	
		Student 2	46	90	87	90	80	28	
		Student 3	42	82	72	90	10	49	
		Student 4	48	50	39	22	18	18	
		Student 5	21	45	41	26	72	42	
		Student 6	52	64	97	72	40	34	
		Student 7	12	24	29	46	96	20	
		Student 8	19	88	23	16	72	38	
		Student 9	82	49	87	42	71	53	
		Student 10	17	49	79	75	86	55	
		Student 11	62	75	45	34	78	16	
		Student 12	39	80	50	49	35	47	
		Student 13	17	14	69	32	83	12	
		Student 14	77	64	51	72	46	14	
		Student 15	57	56	15	65	13	45	
		Student 16	66	22	36	68	58	23	
		Student 17	71	88	89	12	18	41	
		Student 18	26	60	77	42	17	63	
		Student 19	38	68	66	32	49	83	
		Student 20	53	93	44	54	93	27	
		Student 21	69	27	62	61	10	40	
		Student 22	83	27	58	80	78	79	
		Student 23	41	71	11	69	19	23	
		Student 24	87	71	52	94	94	10	
		Student 25	58	91	44	68	56	93	
		Student 26	38	44	88	39	30	14	
		Student 27	49	33	89	84	28	86	
		Student 28	61	93	17	50	31	24	
		Student 29	73	64	58	25	79	59	
		Student 30	84	45	49	35	93	61	
		Student 31	17	47	90	20	67	13	
		Student 32	39	62	34	92	31	29	
		Student 33	27	65	85	11	23	38	
		Student 34	43	74	23	96	27	38	
		Student 35	21	74	81	96	98	88	
		Student 36	44	89	29	63	75	35	
		Student 37	22	63	84	50	22	39	
		Student 38	28	29	90	54	69	86	
		Student 39	19	88	40	21	18	82	
		Student 40	20	52	68	72	61	36	
		Student 41	44	39	70	64	30	10	
		Student 42	23	14	43	14	35	45	
		Student 43	86	14	88	20	81	24	
		Student 44	67	69	94	19	42	60	
		Student 45	82	40	62	91	59	29	
		Student 46	17	28	74	53	39	76	
		Student 47	87	56	19	31	68	24	
		Student 48	48	97	38	37	97	27	
		Student 49	63	16	29	53	94	66	
Program 2
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	37	21	71	97	86	65	
		Student 1	34	62	14	63	89	10	
		Student 2	43	84	89	49	41	81	
		Student 3	20	95	12	39	11	31	
		Student 4	17	93	33	88	13	79	
		Student 5	30	96	17	64	98	46	
		Student 6	77	63	57	67	59	54	
		Student 7	67	32	66	81	60	38	
		Student 8	40	56	26	33	23	97	
		Student 9	51	28	93	68	87	52	
		Student 10	57	64	89	51	12	86	
		Student 11	18	80	89	32	75	63	
		Student 12	33	35	38	27	89	98	
		Student 13	42	92	21	66	18	49	
		Student 14	67	38	14	71	12	16	
		Student 15	50	75	12	65	57	84	
		Student 16	60	83	39	12	98	92	
		Student 17	31	17	36	15	97	90	
		Student 18	40	29	78	62	19	59	
		Student 19	53	62	85	86	83	92	
		Student 20	82	43	70	22	21	31	
		Student 21	98	93	67	14	16	91	
		Student 22	92	24	68	83	36	67	
		Student 23	19	58	27	89	40	34	
		Student 24	66	50	29	51	73	65	
		Student 25	44	73	29	68	81	66	
		Student 26	38	62	31	37	37	64	
		Student 27	76	86	46	86	72	92	
		Student 28	75	28	95	82	95	28	
		Student 29	51	34	69	45	36	83	
		Student 30	50	54	11	25	10	24	
		Student 31	21	59	82	17	49	11	
		Student 32	69	77	97	52	57	85	
		Student 33	19	39	48	37	45	12	
		Student 34	48	85	26	50	95	82	
		Student 35	49	18	58	41	88	27	
		Student 36	98	14	41	17	33	82	
		Student 37	39	72	14	51	42	14	
		Student 38	56	19	22	97	24	89	
		Student 39	54	76	37	28	78	10	
		Student 40	47	88	77	73	48	96	
		Student 41	65	22	99	84	78	24	
		Student 42	42	56	34	46	34	20	
		Student 43	64	29	75	39	80	74	
		Student 44	64	84	57	43	28	72	
		Student 45	57	55	47	15	17	80	
		Student 46	22	99	47	68	54	62	
		Student 47	94	87	23	26	41	49	
		Student 48	69	63	83	95	12	14	
		Student 49	14	83	37	66	12	96	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	89	16	79	18	62	17	
		Student 1	12	79	89	26	91	96	
		Student 2	20	93	43	50	18	87	
		Student 3	82	92	97	60	77	85	
		Student 4	43	43	68	53	79	10	
		Student 5	35	23	63	36	16	28	
		Student 6	49	17	18	34	27	81	
		Student 7	79	30	75	27	20	96	
		Student 8	91	74	98	16	64	62	
		Student 9	66	80	23	50	32	98	
		Student 10	77	33	96	56	93	73	
		Student 11	61	67	27	44	81	26	
		Student 12	93	14	57	88	24	19	
		Student 13	41	47	29	38	94	93	
		Student 14	18	11	68	63	95	17	
		Student 15	66	65	40	86	27	86	
		Student 16	77	28	66	57	30	84	
		Student 17	28	95	14	30	53	29	
		Student 18	83	70	85	85	45	69	
		Student 19	81	77	35	44	12	33	
		Student 20	74	47	10	92	51	94	
		Student 21	28	54	41	79	43	71	
		Student 22	49	15	73	25	35	76	
		Student 23	97	31	71	98	22	45	
		Student 24	85	62	85	27	79	81	
		Student 25	83	41	97	10	27	61	
		Student 26	35	55	35	66	37	92	
		Student 27	46	66	89	84	47	85	
		Student 28	68	68	50	74	35	32	
		Student 29	88	94	46	31	98	39	
		Student 30	97	26	63	10	45	49	
		Student 31	49	13	80	89	49	89	
		Student 32	87	29	80	89	57	83	
		Student 33	15	42	28	14	36	34	
		Student 34	78	32	80	28	46	40	
		Student 35	13	57	47	52	26	47	
		Student 36	24	70	28	46	43	89	
		Student 37	21	53	17	68	29	29	
		Student 38	74	23	81	68	95	23	
		Student 39	17	84	30	25	86	12	
		Student 40	96	33	65	55	45	14	
		Student 41	46	31	68	81	87	58	
		Student 42	11	64	79	72	98	76	
		Student 43	28	34	73	23	74	61	
		Student 44	18	25	27	22	39	47	
		Student 45	36	49	75	14	51	81	
		Student 46	50	17	10	73	60	85	
		Student 47	78	27	68	12	29	57	
		Student 48	52	39	32	50	34	19	
		Student 49	52	91	83	73	73	20	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	68	73	43	86	64	75	
		Student 1	45	38	81	73	17	29	
		Student 2	43	13	24	14	18	13	
		Student 3	87	38	52	36	55	82	
		Student 4	79	80	42	55	33	97	
		Student 5	16	29	58	39	81	71	
		Student 6	70	84	47	94	87	88	
		Student 7	35	32	85	83	55	37	
		Student 8	75	28	92	44	65	57	
		Student 9	65	88	31	25	66	83	
		Student 10	32	53	33	34	98	21	
		Student 11	12	37	12	72	66	78	
		Student 12	44	71	79	89	71	98	
		Student 13	73	73	88	57	54	99	
		Student 14	62	53	27	71	94	60	
		Student 15	42	88	19	14	85	31	
		Student 16	44	59	61	64	73	57	
		Student 17	73	11	50	96	11	76	
		Student 18	10	58	94	15	32	68	
		Student 19	76	92	17	14	42	53	
		Student 20	65	63	42	22	27	17	
		Student 21	40	48	43	84	78	83	
		Student 22	32	54	67	41	69	90	
		Student 23	61	72	33	41	11	62	
		Student 24	25	20	83	49	12	55	
		Student 25	85	54	85	71	81	32	
		Student 26	63	81	97	94	79	41	
		Student 27	84	76	41	10	50	36	
		Student 28	72	77	11	91	91	57	
		Student 29	33	22	99	62	41	18	
		Student 30	97	71	18	25	96	80	
		Student 31	72	29	42	90	10	17	
		Student 32	26	45	73	14	44	79	
		Student 33	76	46	65	77	84	16	
		Student 34	29	50	41	18	51	83	
		Student 35	59	32	83	61	88	44	
		Student 36	90	56	48	65	72	28	
		Student 37	69	29	15	27	62	28	
		Student 38	16	39	96	54	87	10	
		Student 39	27	27	21	29	13	77	
		Student 40	87	61	74	59	34	43	
		Student 41	65	93	57	21	60	64	
		Student 42	91	76	78	11	88	54	
		Student 43	61	42	42	52	58	68	
		Student 44	59	47	21	56	73	47	
		Student 45	51	51	49	81	57	97	
		Student 46	10	42	64	92	71	11	
		Student 47	92	61	87	67	22	31	
		Student 48	18	12	71	67	22	99	
		Student 49	96	99	72	14	66	66	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	64	58	18	76	13	25	
		Student 1	87	54	61	66	31	16	
		Student 2	70	32	78	45	22	92	
		Student 3	86	47	58	26	70	60	
		Student 4	48	78	40	48	89	78	
		Student 5	54	11	30	93	20	90	
		Student 6	94	11	80	53	23	76	
		Student 7	96	71	53	55	61	71	
		Student 8	20	22	32	23	63	17	
		Student 9	70	77	40	77	39	72	
		Student 10	72	22	80	17	24	78	
		Student 11	33	63	33	42	76	69	
		Student 12	80	56	58	36	96	31	
		Student 13	41	63	47	67	18	58	
		Student 14	47	94	72	66	57	98	
		Student 15	28	93	35	17	18	40	
		Student 16	57	33	61	51	62	62	
		Student 17	80	43	34	52	49	26	
		Student 18	77	77	98	69	97	20	
		Student 19	63	20	91	74	84	24	
		Student 20	86	96	94	70	53	27	
		Student 21	67	85	85	58	33	61	
		Student 22	13	81	15	48	25	83	
		Student 23	98	64	57	28	46	82	
		Student 24	55	83	44	33	20	83	
		Student 25	81	61	86	67	48	22	
		Student 26	63	82	13	13	85	87	
		Student 27	10	11	16	40	17	66	
		Student 28	80	55	81	65	71	61	
		Student 29	32	33	67	73	32	35	
		Student 30	33	93	15	36	56	86	
		Student 31	15	10	97	24	35	58	
		Student 32	57	37	34	50	13	91	
		Student 33	19	98	31	79	53	49	
		Student 34	38	83	40	21	80	65	
		Student 35	19	32	40	94	41	79	
		Student 36	68	48	68	60	42	66	
		Student 37	58	41	66	14	54	15	
		Student 38	36	81	87	19	58	14	
		Student 39	11	82	60	77	52	75	
		Student 40	55	91	51	62	62	82	
		Student 41	88	51	37	79	82	14	
		Student 42	64	49	19	62	33	59	
		Student 43	45	76	88	81	40	57	
		Student 44	26	41	88	41	11	70	
		Student 45	92	94	57	99	18	40	
		Student 46	52	44	90	34	96	92	
		Student 47	52	71	70	67	97	70	
		Student 48	92	82	56	79	96	61	
		Student 49	49	59	35	59	87	10	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	26	66	85	39	56	72	
		Student 1	96	57	83	30	95	63	
		Student 2	47	11	29	46	38	96	
		Student 3	62	40	10	85	52	24	
		Student 4	95	33	10	44	79	68	
		Student 5	37	99	84	64	66	82	
		Student 6	18	53	88	58	67	42	
		Student 7	38	79	17	62	57	58	
		Student 8	13	76	41	86	77	36	
		Student 9	38	62	87	42	41	30	
		Student 10	21	15	23	47	41	60	
		Student 11	34	62	49	15	89	13	
		Student 12	46	84	55	95	11	18	
		Student 13	46	22	18	19	38	39	
		Student 14	87	80	64	83	59	36	
		Student 15	69	95	92	48	25	55	
		Student 16	99	74	49	37	50	33	
		Student 17	54	15	46	57	27	82	
		Student 18	44	87	89	34	10	44	
		Student 19	17	68	87	19	72	90	
		Student 20	40	21	20	68	91	97	
		Student 21	88	55	30	65	22	15	
		Student 22	93	66	75	64	93	88	
		Student 23	83	36	26	74	32	81	
		Student 24	64	37	58	91	28	40	
		Student 25	79	52	30	61	60	16	
		Student 26	21	58	22	13	77	88	
		Student 27	56	74	12	77	55	19	
		Student 28	50	18	95	22	26	42	
		Student 29	12	14	66	48	26	68	
		Student 30	10	17	86	81	22	33	
		Student 31	33	75	28	63	82	79	
		Student 32	77	58	58	50	51	79	
		Student 33	41	92	96	73	79	33	
		Student 34	42	47	25	61	80	65	
		Student 35	35	40	95	82	20	81	
		Student 36	55	91	58	13	25	62	
		Student 37	51	98	58	96	55	51	
		Student 38	75	19	89	54	77	52	
		Student 39	37	30	53	92	11	32	
		Student 40	99	98	52	77	33	89	
		Student 41	95	98	35	77	36	93	
		Student 42	26	49	81	35	87	76	
		Student 43	73	30	68	39	27	26	
		Student 44	72	26	89	70	49	11	
		Student 45	22	54	44	12	92	13	
		Student 46	70	68	78	23	52	29	
		Student 47	35	15	32	46	35	80	
		Student 48	10	37	90	48	68	46	
		Student 49	20	60	86	21	55	86	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	95	89	81	34	43	26	
		Student 1	21	17	74	13	97	29	
		Student 2	28	37	76	22	48	30	
		Student 3	12	98	85	90	62	22	
		Student 4	49	57	61	38	66	76	
		Student 5	13	90	29	20	94	59	
		Student 6	94	90	56	70	15	19	
		Student 7	47	76	12	59	59	81	
		Student 8	59	72	39	89	86	56	
		Student 9	36	32	51	45	74	60	
		Student 10	13	52	72	67	51	70	
		Student 11	51	26	93	58	92	85	
		Student 12	48	79	84	16	87	57	
		Student 13	52	93	59	70	76	79	
		Student 14	95	99	85	36	84	68	
		Student 15	30	44	37	68	28	47	
		Student 16	48	99	40	68	18	29	
		Student 17	83	84	50	77	20	65	
		Student 18	51	37	74	95	19	84	
		Student 19	28	40	84	22	70	21	
		Student 20	10	98	66	84	52	41	
		Student 21	31	33	30	37	32	83	
		Student 22	42	19	93	55	93	87	
		Student 23	63	25	76	32	43	62	
		Student 24	29	76	42	48	11	70	
		Student 25	97	98	20	73	62	47	
		Student 26	36	20	82	23	21	96	
		Student 27	28	57	50	63	40	60	
		Student 28	34	18	84	64	61	38	
		Student 29	81	82	74	60	63	99	
		Student 30	79	27	34	13	57	45	
		Student 31	39	27	38	70	90	74	
		Student 32	45	78	30	70	65	92	
		Student 33	96	16	64	96	49	14	
		Student 34	26	42	56	85	98	61	
		Student 35	56	63	38	23	10	20	
		Student 36	48	78	25	88	19	67	
		Student 37	26	11	63	71	89	80	
		Student 38	28	55	11	10	70	52	
		Student 39	88	51	78	35	42	90	
		Student 40	86	25	66	54	33	54	
		Student 41	90	93	11	44	81	26	
		Student 42	27	89	81	77	93	83	
		Student 43	73	14	42	64	66	31	
		Student 44	77	31	97	90	67	49	
		Student 45	81	70	81	76	47	58	
		Student 46	27	76	28	54	26	10	
		Student 47	15	50	69	84	77	37	
		Student 48	88	79	62	54	68	62	
		Student 49	69	85	75	45	98	64	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	38	53	41	61	68	42	
		Student 1	55	77	25	77	30	66	
		Student 2	19	46	74	38	26	92	
		Student 3	33	89	28	16	71	75	
		Student 4	24	75	79	69	21	19	
		Student 5	24	11	94	85	87	39	
		Student 6	74	77	62	27	76	22	
		Student 7	54	45	56	60	22	48	
		Student 8	14	97	65	66	78	90	
		Student 9	93	94	36	69	27	80	
		Student 10	19	79	23	20	29	63	
		Student 11	10	72	44	97	10	39	
		Student 12	38	21	33	21	41	86	
		Student 13	36	87	77	51	94	76	
		Student 14	39	77	38	84	78	93	
		Student 15	71	13	73	73	57	62	
		Student 16	39	77	73	40	96	94	
		Student 17	97	11	78	71	37	73	
		Student 18	15	66	35	25	27	74	
		Student 19	57	11	51	16	18	81	
		Student 20	80	67	64	60	60	81	
		Student 21	95	74	83	96	86	81	
		Student 22	34	56	79	45	88	24	
		Student 23	27	74	16	30	48	66	
		Student 24	28	22	20	74	88	61	
		Student 25	89	15	35	89	76	24	
		Student 26	45	53	13	72	36	31	
		Student 27	62	97	93	96	14	78	
		Student 28	12	30	68	37	35	39	
		Student 29	56	68	90	86	42	33	
		Student 30	78	51	87	87	23	46	
		Student 31	68	21	40	87	17	56	
		Student 32	89	30	59	65	73	47	
		Student 33	67	69	45	48	32	10	
		Student 34	58	25	14	58	48	34	
		Student 35	66	86	73	21	93	69	
		Student 36	24	48	43	36	56	27	
		Student 37	34	76	31	13	97	13	
		Student 38	42	16	89	70	39	65	
		Student 39	98	92	11	47	24	67	
		Student 40	21	32	37	61	88	92	
		Student 41	18	48	86	69	38	15	
		Student 42	49	94	35	13	61	48	
		Student 43	50	58	99	31	37	93	
		Student 44	65	85	88	31	40	46	
		Student 45	85	37	21	35	94	71	
		Student 46	52	33	28	75	41	14	
		Student 47	77	84	35	76	14	83	
		Student 48	78	22	84	70	97	98	
		Student 49	77	45	77	47	61	51	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	24	95	45	55	94	10	
		Student 1	49	39	42	34	27	58	
		Student 2	48	74	77	15	12	96	
		Student 3	86	35	12	55	25	72	
		Student 4	76	93	78	74	44	61	
		Student 5	50	75	91	89	92	98	
		Student 6	23	22	45	24	98	89	
		Student 7	77	79	45	97	96	88	
		Student 8	52	34	51	65	13	65	
		Student 9	36	74	90	12	47	64	
		Student 10	86	27	67	48	65	39	
		Student 11	15	73	73	52	30	88	
		Student 12	78	34	52	85	46	53	
		Student 13	56	34	26	68	43	86	
		Student 14	22	24	17	15	62	26	
		Student 15	16	32	29	38	29	68	
		Student 16	47	30	17	54	90	99	
		Student 17	79	97	71	48	47	71	
		Student 18	80	32	40	10	60	47	
		Student 19	39	98	73	68	90	69	
		Student 20	15	35	83	61	87	95	
		Student 21	96	94	28	28	43	19	
		Student 22	13	51	61	15	96	69	
		Student 23	53	64	84	59	49	22	
		Student 24	80	20	87	53	25	98	
		Student 25	82	80	18	17	46	87	
		Student 26	20	89	78	23	82	69	
		Student 27	73	83	21	22	87	56	
		Student 28	37	23	13	56	56	34	
		Student 29	87	95	35	94	97	39	
		Student 30	30	98	87	30	42	22	
		Student 31	71	73	62	29	23	34	
		Student 32	90	64	35	31	77	80	
		Student 33	20	49	79	21	53	11	
		Student 34	25	22	85	99	70	50	
		Student 35	14	74	57	34	81	95	
		Student 36	18	17	25	77	24	82	
		Student 37	65	19	24	19	56	93	
		Student 38	96	93	49	28	52	43	
		Student 39	82	95	24	83	24	49	
		Student 40	94	32	35	48	25	35	
		Student 41	26	35	88	84	33	95	
		Student 42	95	99	29	12	20	16	
		Student 43	16	11	30	56	39	42	
		Student 44	82	46	81	13	36	51	
		Student 45	68	70	52	91	26	33	
		Student 46	56	14	13	67	24	65	
		Student 47	26	62	20	33	18	66	
		Student 48	94	98	57	47	43	99	
		Student 49	43	37	30	52	84	34	
Program 3
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	57	31	15	64	65	48	
		Student 1	64	34	99	66	48	32	
		Student 2	61	20	42	99	99	61	
		Student 3	95	85	34	18	78	97	
		Student 4	65	14	17	91	18	51	
		Student 5	99	62	70	51	72	88	
		Student 6	18	35	21	78	38	30	
		Student 7	34	17	62	14	40	14	
		Student 8	87	26	71	78	60	76	
		Student 9	32	29	69	98	68	49	
		Student 10	45	81	27	60	99	16	
		Student 11	31	42	10	92	27	24	
		Student 12	76	83	27	27	75	71	
		Student 13	29	43	78	74	17	40	
		Student 14	38	39	75	55	96	18	
		Student 15	87	33	79	21	97	83	
		Student 16	69	80	48	76	39	47	
		Student 17	16	79	21	96	77	20	
		Student 18	49	51	30	95	63	40	
		Student 19	93	12	49	88	84	73	
		Student 20	44	94	21	57	58	26	
		Student 21	64	65	69	71	90	67	
		Student 22	26	57	81	38	21	46	
		Student 23	12	16	96	82	19	43	
		Student 24	53	87	23	47	32	35	
		Student 25	79	58	37	37	38	27	
		Student 26	66	28	34	23	35	48	
		Student 27	45	73	41	66	53	48	
		Student 28	16	64	49	49	61	45	
		Student 29	36	54	69	81	95	34	
		Student 30	65	97	64	59	33	72	
		Student 31	27	12	54	26	72	31	
		Student 32	40	47	47	99	21	11	
		Student 33	91	48	47	80	89	89	
		Student 34	45	22	14	16	21	77	
		Student 35	88	36	53	70	70	34	
		Student 36	46	82	69	91	36	42	
		Student 37	53	75	83	11	88	17	
		Student 38	76	30	46	44	14	83	
		Student 39	18	18	26	24	38	29	
		Student 40	30	14	73	86	99	15	
		Student 41	18	88	95	63	38	95	
		Student 42	14	54	40	89	63	15	
		Student 43	73	67	21	46	65	53	
		Student 44	66	27	49	19	40	63	
		Student 45	47	80	84	42	75	25	
		Student 46	36	65	30	78	16	70	
		Student 47	41	64	49	52	79	43	
		Student 48	26	36	99	18	41	59	
		Student 49	81	46	19	92	65	53	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	68	85	21	67	60	92	
		Student 1	59	51	53	11	99	73	
		Student 2	40	47	80	33	48	23	
		Student 3	68	52	34	26	73	17	
		Student 4	34	36	55	37	28	57	
		Student 5	52	57	35	25	27	70	
		Student 6	79	19	37	30	36	24	
		Student 7	43	82	50	25	82	30	
		Student 8	57	56	71	48	96	23	
		Student 9	24	51	63	39	42	43	
		Student 10	32	64	79	97	52	29	
		Student 11	15	11	38	30	81	72	
		Student 12	41	27	34	14	73	76	
		Student 13	26	76	63	52	30	51	
		Student 14	50	63	37	30	57	32	
		Student 15	95	98	31	18	39	40	
		Student 16	50	71	29	31	71	79	
		Student 17	18	94	48	56	40	32	
		Student 18	60	93	48	50	51	58	
		Student 19	17	90	80	66	29	92	
		Student 20	70	58	20	34	24	95	
		Student 21	56	34	52	64	33	35	
		Student 22	68	36	96	72	42	65	
		Student 23	55	80	38	26	70	29	
		Student 24	35	96	99	39	56	33	
		Student 25	83	18	68	65	66	68	
		Student 26	34	88	48	27	14	44	
		Student 27	29	18	43	28	39	50	
		Student 28	28	15	31	91	31	35	
		Student 29	18	13	23	45	40	20	
		Student 30	21	53	11	68	46	10	
		Student 31	65	40	30	23	68	55	
		Student 32	74	69	97	66	65	35	
		Student 33	50	31	84	59	70	10	
		Student 34	54	42	90	77	60	19	
		Student 35	59	90	32	68	71	78	
		Student 36	47	38	46	62	37	93	
		Student 37	11	23	27	96	48	61	
		Student 38	56	22	80	95	30	93	
		Student 39	50	10	87	10	12	38	
		Student 40	93	80	86	86	55	88	
		Student 41	66	75	66	86	53	19	
		Student 42	31	75	65	67	49	41	
		Student 43	22	88	16	28	82	43	
		Student 44	70	97	42	17	50	26	
		Student 45	26	15	88	51	89	54	
		Student 46	15	72	47	72	44	84	
		Student 47	12	28	61	62	50	67	
		Student 48	88	89	69	77	99	94	
		Student 49	23	96	41	33	94	93	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	22	26	27	79	22	16	
		Student 1	12	82	91	58	62	97	
		Student 2	54	92	55	84	61	48	
		Student 3	17	14	53	86	67	13	
		Student 4	78	15	73	68	25	39	
		Student 5	49	80	94	84	53	68	
		Student 6	93	17	83	21	79	93	
		Student 7	68	62	96	54	36	60	
		Student 8	93	14	60	81	60	95	
		Student 9	62	49	46	36	91	48	
		Student 10	80	39	46	26	19	35	
		Student 11	38	77	33	78	12	76	
		Student 12	84	70	83	59	31	33	
		Student 13	25	85	32	93	38	64	
		Student 14	13	14	88	45	40	80	
		Student 15	50	30	96	27	76	21	
		Student 16	93	17	47	31	60	50	
		Student 17	14	95	32	59	99	36	
		Student 18	34	97	37	95	51	35	
		Student 19	24	97	24	78	33	53	
		Student 20	56	16	58	74	56	99	
		Student 21	62	22	88	91	56	36	
		Student 22	62	27	22	91	68	33	
		Student 23	49	42	15	95	99	41	
		Student 24	55	71	76	49	47	30	
		Student 25	57	77	33	53	67	19	
		Student 26	38	48	30	24	25	74	
		Student 27	54	26	22	93	22	89	
		Student 28	66	64	85	95	66	98	
		Student 29	92	42	57	37	76	99	
		Student 30	97	89	38	68	33	47	
		Student 31	97	78	46	55	56	83	
		Student 32	69	12	77	62	57	32	
		Student 33	71	12	84	55	10	31	
		Student 34	50	14	43	79	35	81	
		Student 35	51	68	80	73	88	66	
		Student 36	91	14	61	80	19	37	
		Student 37	62	66	72	58	85	96	
		Student 38	32	94	93	11	58	33	
		Student 39	98	70	58	93	41	35	
		Student 40	40	88	78	22	91	54	
		Student 41	74	69	81	96	20	93	
		Student 42	24	71	58	45	29	64	
		Student 43	38	37	35	54	44	41	
		Student 44	23	30	84	70	27	15	
		Student 45	15	73	30	43	18	25	
		Student 46	47	59	54	66	76	93	
		Student 47	64	51	23	31	96	96	
		Student 48	10	11	24	63	71	16	
		Student 49	61	98	22	57	17	79	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	78	62	79	74	29	46	
		Student 1	98	10	52	77	89	23	
		Student 2	87	25	41	76	58	76	
		Student 3	65	96	37	66	40	47	
		Student 4	56	36	85	52	93	21	
		Student 5	10	85	22	17	38	30	
		Student 6	17	94	41	82	80	45	
		Student 7	52	95	62	61	30	50	
		Student 8	70	75	46	53	51	64	
		Student 9	32	14	84	79	46	58	
		Student 10	91	68	55	63	48	57	
		Student 11	52	47	50	33	94	97	
		Student 12	13	58	66	36	16	46	
		Student 13	55	45	93	84	66	82	
		Student 14	42	90	15	26	59	47	
		Student 15	15	84	79	98	75	27	
		Student 16	75	18	16	57	77	94	
		Student 17	55	25	36	98	85	88	
		Student 18	52	80	66	93	57	46	
		Student 19	57	65	23	11	77	91	
		Student 20	38	53	50	35	42	10	
		Student 21	54	81	37	65	81	95	
		Student 22	31	52	63	18	93	99	
		Student 23	14	10	29	33	72	71	
		Student 24	29	24	90	72	43	74	
		Student 25	15	42	80	62	61	96	
		Student 26	76	32	15	50	61	53	
		Student 27	98	48	14	47	60	47	
		Student 28	38	95	41	69	70	25	
		Student 29	44	44	25	54	28	14	
		Student 30	24	13	29	19	95	36	
		Student 31	55	50	73	92	43	78	
		Student 32	27	19	20	66	79	19	
		Student 33	22	62	20	42	61	67	
		Student 34	71	72	15	89	26	99	
		Student 35	99	23	38	60	55	11	
		Student 36	95	52	39	44	60	87	
		Student 37	84	98	64	31	30	30	
		Student 38	42	43	16	18	30	38	
		Student 39	42	72	42	22	84	49	
		Student 40	22	14	83	92	25	50	
		Student 41	39	39	10	12	90	34	
		Student 42	82	67	12	25	70	85	
		Student 43	47	91	65	57	61	75	
		Student 44	32	63	36	47	49	81	
		Student 45	87	60	13	16	60	28	
		Student 46	73	15	99	65	16	19	
		Student 47	28	48	82	68	77	49	
		Student 48	59	86	78	33	74	17	
		Student 49	55	67	52	79	67	65	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
