Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	84	84	64	94	84	90	
		Student 1	33	36	21	70	55	20	
		Student 2	59	36	22	78	14	24	
		Student 3	54	90	14	32	72	50	
		Student 4	73	98	21	63	19	77	
		Student 5	22	73	45	18	15	32	
		Student 6	99	10	97	90	21	76	
		Student 7	36	55	66	13	28	62	
		Student 8	61	33	62	87	63	49	
		Student 9	11	64	24	87	47	43	
		Student 10	40	86	57	51	22	20	
		Student 11	65	54	85	62	37	14	
		Student 12	94	40	28	87	46	32	
		Student 13	16	42	63	15	80	66	
		Student 14	81	72	68	45	34	27	
		Student 15	51	97	27	41	96	68	
		Student 16	63	81	41	29	77	44	
		Student 17	46	84	27	99	12	96	
		Student 18	92	21	79	34	24	17	
		Student 19	31	70	40	50	27	24	
		Student 20	58	71	96	69	62	58	
		Student 21	31	56	11	85	34	89	
		Student 22	78	47	31	39	32	61	
		Student 23	72	40	30	39	70	59	
		Student 24	94	26	30	11	96	12	
		Student 25	22	68	52	16	14	57	
		Student 26	52	30	47	25	11	15	
		Student 27	91	16	19	52	41	22	
		Student 28	95	70	87	31	10	23	
		Student 29	62	88	56	41	35	97	
		Student 30	34	54	22	26	58	68	
		Student 31	10	16	23	43	58	90	
		Student 32	53	89	20	43	38	67	
		Student 33	44	47	52	40	69	50	
		Student 34	82	81	42	57	88	98	
		Student 35	53	35	32	30	59	50	
		Student 36	15	78	69	96	42	34	
		Student 37	40	42	60	56	98	28	
		Student 38	43	36	85	12	83	83	
		Student 39	76	28	13	81	51	31	
		Student 40	11	70	38	54	84	94	
		Student 41	51	19	62	78	63	76	
		Student 42	23	72	22	27	69	59	
		Student 43	28	45	44	21	38	34	
		Student 44	26	36	51	55	88	89	
		Student 45	44	84	14	67	64	69	
		Student 46	94	14	12	63	76	70	
		Student 47	46	78	12	87	46	98	
		Student 48	80	75	65	45	98	66	
		Student 49	33	71	83	19	90	35	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	41	76	41	50	81	67	
		Student 1	59	35	95	96	40	92	
		Student 2	32	49	76	41	59	86	
		Student 3	46	25	91	24	44	56	
		Student 4	56	52	85	47	99	69	
		Student 5	10	14	59	57	87	73	
		Student 6	28	75	52	16	38	63	
		Student 7	96	67	52	89	40	97	
		Student 8	26	20	41	55	18	54	
		Student 9	88	42	47	47	67	51	
		Student 10	64	75	99	51	34	50	
		Student 11	36	59	86	14	94	35	
		Student 12	77	95	64	14	13	72	
		Student 13	26	81	58	94	71	29	
		Student 14	99	30	59	64	87	94	
		Student 15	51	86	95	73	24	35	
		Student 16	79	64	88	83	47	14	
		Student 17	61	69	84	12	53	40	
		Student 18	56	36	76	82	49	60	
		Student 19	32	46	55	71	28	92	
		Student 20	30	64	30	12	32	70	
		Student 21	33	12	27	33	48	59	
		Student 22	44	58	31	21	70	93	
		Student 23	36	67	60	59	78	13	
		Student 24	90	44	69	75	94	65	
		Student 25	91	37	53	29	37	95	
		Student 26	50	35	59	15	22	40	
		Student 27	24	58	30	87	17	75	
		Student 28	73	99	78	14	67	75	
		Student 29	97	18	28	79	86	56	
		Student 30	73	27	24	52	57	63	
		Student 31	74	47	22	81	44	39	
		Student 32	23	24	93	62	90	18	
		Student 33	44	29	64	17	56	71	
		Student 34	40	96	88	27	65	44	
		Student 35	35	56	99	94	22	61	
		Student 36	94	87	71	40	44	26	
		Student 37	26	89	38	62	85	34	
		Student 38	77	20	31	59	16	32	
		Student 39	52	13	81	79	51	21	
		Student 40	50	61	61	32	51	74	
		Student 41	67	81	36	14	65	47	
		Student 42	75	54	84	95	96	36	
		Student 43	80	21	57	20	24	11	
		Student 44	32	47	87	21	66	57	
		Student 45	70	81	17	11	62	85	
		Student 46	26	51	21	79	60	65	
		Student 47	38	47	61	90	41	17	
		Student 48	78	29	70	67	23	29	
		Student 49	90	74	38	22	47	91	
Program 2
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	68	25	73	27	36	45	
		Student 1	55	46	38	76	41	81	
		Student 2	25	40	16	48	38	54	
		Student 3	62	25	31	47	80	99	
		Student 4	16	37	99	11	54	28	
		Student 5	84	63	59	72	74	93	
		Student 6	83	79	96	38	37	53	
		Student 7	65	79	74	30	76	34	
		Student 8	78	75	46	77	94	74	
		Student 9	62	15	19	21	58	65	
		Student 10	92	30	42	54	90	35	
		Student 11	26	12	23	64	35	43	
		Student 12	21	88	87	91	25	95	
		Student 13	49	55	39	54	10	96	
		Student 14	67	65	36	54	33	86	
		Student 15	30	15	36	60	76	22	
		Student 16	49	38	30	36	58	19	
		Student 17	46	95	37	22	16	33	
		Student 18	12	94	18	10	71	35	
		Student 19	22	77	80	92	37	15	
		Student 20	80	92	79	41	81	49	
		Student 21	61	79	25	13	41	20	
		Student 22	70	58	68	19	45	53	
		Student 23	70	73	85	26	67	83	
		Student 24	35	24	97	36	12	58	
		Student 25	46	90	77	41	28	47	
		Student 26	60	90	46	20	83	72	
		Student 27	56	43	70	26	11	48	
		Student 28	94	21	54	80	79	21	
		Student 29	67	81	84	96	60	23	
		Student 30	70	37	73	14	94	11	
		Student 31	24	44	12	27	63	69	
		Student 32	27	12	93	90	78	86	
		Student 33	67	66	79	89	19	40	
		Student 34	97	51	14	50	19	39	
		Student 35	26	66	91	92	61	88	
		Student 36	13	94	42	88	83	82	
		Student 37	71	87	82	77	47	86	
		Student 38	75	24	88	21	52	64	
		Student 39	85	42	83	66	96	59	
		Student 40	36	11	35	67	33	41	
		Student 41	23	53	44	62	30	27	
		Student 42	13	64	88	39	17	93	
		Student 43	55	80	10	44	88	86	
		Student 44	53	70	86	85	87	15	
		Student 45	67	29	53	88	35	65	
		Student 46	46	94	48	49	30	61	
		Student 47	33	84	98	96	61	93	
		Student 48	48	56	19	21	15	74	
		Student 49	90	33	22	89	92	68	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	58	96	84	32	68	20	
		Student 1	13	22	67	26	31	82	
		Student 2	19	35	20	47	65	97	
		Student 3	93	55	86	76	55	86	
		Student 4	83	41	55	52	90	77	
		Student 5	90	23	89	39	55	24	
		Student 6	91	94	70	76	37	39	
		Student 7	71	93	17	23	53	73	
		Student 8	14	82	89	92	28	92	
		Student 9	57	99	26	84	89	44	
		Student 10	11	86	23	52	20	28	
		Student 11	91	52	66	65	88	55	
		Student 12	93	95	67	87	33	12	
		Student 13	36	42	65	99	87	10	
		Student 14	30	87	97	78	53	60	
		Student 15	41	99	66	44	35	47	
		Student 16	90	57	82	49	80	24	
		Student 17	61	43	77	47	81	72	
		Student 18	41	66	57	15	27	33	
		Student 19	57	66	15	71	77	60	
		Student 20	15	24	21	11	85	70	
		Student 21	29	36	58	89	98	64	
		Student 22	46	83	58	24	42	12	
		Student 23	96	65	22	87	58	90	
		Student 24	87	47	77	50	99	48	
		Student 25	28	80	54	14	84	56	
		Student 26	72	12	52	34	64	72	
		Student 27	25	79	64	76	91	67	
		Student 28	42	63	60	45	20	82	
		Student 29	90	92	53	67	92	34	
		Student 30	22	60	79	89	89	64	
		Student 31	81	70	71	18	11	90	
		Student 32	44	40	33	18	62	91	
		Student 33	19	35	45	13	28	16	
		Student 34	28	30	14	69	35	39	
		Student 35	98	74	38	84	65	87	
		Student 36	20	87	70	47	47	22	
		Student 37	64	20	17	69	27	87	
		Student 38	60	94	85	91	31	95	
		Student 39	88	32	14	68	96	64	
		Student 40	77	86	65	69	49	70	
		Student 41	95	81	99	45	93	43	
		Student 42	62	60	94	23	82	59	
		Student 43	81	93	34	81	70	72	
		Student 44	95	95	34	36	96	90	
		Student 45	18	53	96	71	26	72	
		Student 46	72	25	64	59	98	16	
		Student 47	44	14	88	37	77	24	
		Student 48	95	83	56	68	19	83	
		Student 49	34	48	49	57	79	57	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	19	79	49	34	46	98	
		Student 1	18	20	40	55	16	62	
		Student 2	90	92	60	12	15	88	
		Student 3	73	65	12	42	11	11	
		Student 4	35	18	94	48	13	41	
		Student 5	38	65	18	26	48	17	
		Student 6	41	44	10	59	34	53	
		Student 7	96	77	19	61	83	29	
		Student 8	38	15	20	96	95	92	
		Student 9	33	59	13	42	75	81	
		Student 10	30	20	70	32	62	27	
		Student 11	81	92	51	72	81	93	
		Student 12	13	29	35	20	71	55	
		Student 13	94	88	14	70	49	54	
		Student 14	96	17	65	99	69	79	
		Student 15	13	45	77	43	13	52	
		Student 16	26	60	21	49	53	74	
		Student 17	53	13	27	72	14	93	
		Student 18	48	99	73	29	21	75	
		Student 19	35	82	22	21	65	58	
		Student 20	77	80	51	94	75	43	
		Student 21	11	61	65	51	47	64	
		Student 22	82	64	13	12	36	11	
		Student 23	92	13	49	90	77	18	
		Student 24	20	93	80	67	99	47	
		Student 25	52	36	63	94	92	95	
		Student 26	31	68	73	10	11	66	
		Student 27	24	10	90	30	66	85	
		Student 28	74	61	70	38	14	94	
		Student 29	45	94	95	61	16	78	
		Student 30	31	68	65	48	61	82	
		Student 31	80	12	32	75	15	78	
		Student 32	77	49	26	18	95	66	
		Student 33	82	57	36	45	17	15	
		Student 34	88	38	46	86	95	59	
		Student 35	21	59	76	92	19	48	
		Student 36	15	29	36	41	21	69	
		Student 37	33	92	96	67	98	82	
		Student 38	98	25	37	65	17	98	
		Student 39	83	11	14	52	60	57	
		Student 40	85	35	96	11	16	13	
		Student 41	37	28	69	41	63	53	
		Student 42	78	11	15	42	99	42	
		Student 43	35	21	34	15	44	86	
		Student 44	18	32	48	54	94	47	
		Student 45	80	44	90	25	16	86	
		Student 46	59	83	79	42	47	96	
		Student 47	18	29	68	12	73	72	
		Student 48	44	41	97	95	72	88	
		Student 49	61	11	44	34	51	81	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	63	73	32	23	12	82	
		Student 1	78	17	48	60	83	87	
		Student 2	22	23	18	63	89	99	
		Student 3	35	71	92	30	90	28	
		Student 4	81	93	71	84	31	58	
		Student 5	52	23	89	76	89	40	
		Student 6	34	21	79	21	12	33	
		Student 7	47	53	65	25	98	51	
		Student 8	55	22	23	42	74	18	
		Student 9	11	52	39	19	89	99	
		Student 10	48	29	23	35	79	58	
		Student 11	55	11	71	31	50	88	
		Student 12	31	10	63	53	21	84	
		Student 13	50	52	20	64	91	86	
		Student 14	59	85	91	86	33	11	
		Student 15	54	40	87	88	14	24	
		Student 16	42	88	33	74	51	71	
		Student 17	15	81	97	80	60	37	
		Student 18	12	28	23	75	96	77	
		Student 19	40	70	27	18	70	96	
		Student 20	77	89	41	83	56	38	
		Student 21	95	83	10	32	54	62	
		Student 22	85	92	30	60	97	99	
		Student 23	35	82	21	72	79	49	
		Student 24	58	62	17	97	29	88	
		Student 25	77	42	44	58	58	85	
		Student 26	13	94	50	66	10	17	
		Student 27	66	90	26	57	69	30	
		Student 28	13	78	90	79	12	71	
		Student 29	56	99	98	92	72	16	
		Student 30	79	23	98	70	40	44	
		Student 31	68	29	75	92	99	51	
		Student 32	45	64	45	16	92	84	
		Student 33	88	75	88	26	95	82	
		Student 34	53	55	39	47	82	98	
		Student 35	23	92	85	29	27	95	
		Student 36	60	71	99	22	98	42	
		Student 37	11	78	94	68	83	76	
		Student 38	88	57	36	93	39	84	
		Student 39	23	92	76	62	66	48	
		Student 40	39	36	40	57	45	73	
		Student 41	82	38	46	94	73	61	
		Student 42	42	29	21	72	79	96	
		Student 43	22	19	81	62	89	28	
		Student 44	85	68	10	42	10	66	
		Student 45	19	97	80	68	48	12	
		Student 46	42	37	25	65	16	79	
		Student 47	31	29	43	95	49	24	
		Student 48	39	97	74	59	94	87	
		Student 49	48	56	18	45	51	47	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	74	43	28	30	55	75	
		Student 1	91	30	32	16	81	91	
		Student 2	12	44	30	60	57	95	
		Student 3	74	74	12	84	22	94	
		Student 4	79	77	48	39	34	22	
		Student 5	73	12	98	87	21	63	
		Student 6	44	48	32	93	73	32	
		Student 7	84	73	71	73	26	58	
		Student 8	10	34	23	78	71	27	
		Student 9	21	63	24	25	45	60	
		Student 10	38	29	65	22	20	63	
		Student 11	58	54	42	10	83	24	
		Student 12	44	47	80	49	96	34	
		Student 13	13	47	77	21	90	86	
		Student 14	72	47	33	43	13	56	
		Student 15	86	65	23	28	51	92	
		Student 16	78	59	31	38	80	75	
		Student 17	63	63	10	14	16	91	
		Student 18	39	95	58	79	62	86	
		Student 19	37	98	15	20	15	37	
		Student 20	47	14	25	96	55	68	
		Student 21	96	27	41	93	98	53	
		Student 22	94	59	69	32	26	61	
		Student 23	52	82	31	88	23	18	
		Student 24	59	49	48	52	46	54	
		Student 25	39	94	93	53	18	63	
		Student 26	41	77	12	22	20	63	
		Student 27	66	42	70	13	34	54	
		Student 28	24	27	43	74	36	87	
		Student 29	20	12	66	85	85	59	
		Student 30	88	35	93	98	13	98	
		Student 31	48	57	29	35	53	17	
		Student 32	29	58	73	66	42	48	
		Student 33	52	69	29	53	85	46	
		Student 34	77	92	45	75	96	12	
		Student 35	64	48	47	42	98	49	
		Student 36	97	45	28	34	46	59	
		Student 37	38	51	64	19	40	15	
		Student 38	41	30	93	89	38	99	
		Student 39	64	52	88	34	87	75	
		Student 40	50	68	54	69	20	66	
		Student 41	33	56	25	27	67	71	
		Student 42	62	35	89	36	27	78	
		Student 43	43	55	39	21	42	90	
		Student 44	49	62	57	15	67	64	
		Student 45	30	94	38	24	39	37	
		Student 46	57	39	18	92	64	41	
		Student 47	78	55	37	37	90	76	
		Student 48	15	44	82	75	47	18	
		Student 49	94	78	48	62	91	44	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	29	87	20	28	42	63	
		Student 1	39	47	77	93	59	63	
		Student 2	96	38	66	32	54	82	
		Student 3	57	57	71	25	65	69	
		Student 4	19	36	74	21	99	36	
		Student 5	64	65	37	86	64	53	
		Student 6	72	25	93	49	32	12	
		Student 7	66	76	12	81	43	55	
		Student 8	52	72	21	98	49	62	
		Student 9	10	31	39	23	29	70	
		Student 10	29	15	48	14	40	38	
		Student 11	21	42	20	45	45	87	
		Student 12	27	74	19	83	72	37	
		Student 13	89	44	73	16	56	70	
		Student 14	21	78	37	50	44	88	
		Student 15	98	43	66	57	70	42	
		Student 16	62	50	29	89	98	75	
		Student 17	96	37	18	23	68	59	
		Student 18	39	51	36	93	95	66	
		Student 19	37	21	95	81	54	37	
		Student 20	83	56	87	60	33	62	
		Student 21	96	26	54	37	44	73	
		Student 22	51	27	44	99	13	57	
		Student 23	32	82	27	64	27	83	
		Student 24	34	21	64	87	27	82	
		Student 25	53	69	13	64	45	18	
		Student 26	27	67	66	64	25	84	
		Student 27	13	85	90	74	83	53	
		Student 28	58	23	70	63	75	39	
		Student 29	93	45	84	37	44	53	
		Student 30	33	94	28	96	47	66	
		Student 31	67	59	24	46	25	37	
		Student 32	19	37	91	12	91	19	
		Student 33	20	36	84	46	47	47	
		Student 34	95	46	69	43	63	59	
		Student 35	45	14	37	28	84	70	
		Student 36	58	15	55	98	23	45	
		Student 37	26	46	61	65	74	70	
		Student 38	32	22	12	42	15	81	
		Student 39	48	73	72	28	61	81	
		Student 40	61	92	60	33	72	46	
		Student 41	71	87	35	54	50	58	
		Student 42	21	90	61	16	63	51	
		Student 43	93	74	97	47	17	96	
		Student 44	64	51	51	14	56	40	
		Student 45	45	82	17	33	41	57	
		Student 46	95	24	91	48	59	90	
		Student 47	87	32	53	71	39	42	
		Student 48	54	44	49	90	24	93	
		Student 49	67	12	10	36	32	92	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	13	45	87	44	70	39	
		Student 1	28	15	53	73	52	11	
		Student 2	22	97	24	46	21	32	
		Student 3	74	84	30	50	66	54	
		Student 4	61	69	10	57	85	55	
		Student 5	49	12	48	64	79	88	
		Student 6	29	95	37	93	72	72	
		Student 7	37	98	71	39	82	84	
		Student 8	46	18	64	62	77	37	
		Student 9	26	96	69	88	40	76	
		Student 10	92	56	82	33	95	56	
		Student 11	29	54	44	32	18	50	
		Student 12	99	79	86	22	32	55	
		Student 13	95	24	45	88	41	37	
		Student 14	35	38	21	65	79	48	
		Student 15	55	27	89	67	13	13	
		Student 16	62	90	56	13	34	46	
		Student 17	68	45	46	71	57	74	
		Student 18	10	12	46	26	26	90	
		Student 19	23	67	36	38	80	90	
		Student 20	34	90	42	71	81	31	
		Student 21	31	50	49	98	68	85	
		Student 22	52	75	72	16	45	17	
		Student 23	42	32	89	91	79	81	
		Student 24	43	53	21	25	78	33	
		Student 25	17	23	84	98	89	74	
		Student 26	90	98	60	36	63	74	
		Student 27	34	68	89	58	71	57	
		Student 28	80	50	48	33	68	23	
		Student 29	15	96	53	52	23	93	
		Student 30	87	24	50	92	65	24	
		Student 31	85	23	51	23	72	45	
		Student 32	94	86	55	27	10	31	
		Student 33	74	68	58	90	79	71	
		Student 34	50	62	89	45	98	14	
		Student 35	64	86	42	98	84	95	
		Student 36	88	85	43	89	68	58	
		Student 37	53	54	51	45	30	88	
		Student 38	39	10	45	25	32	28	
		Student 39	77	43	45	52	77	72	
		Student 40	76	14	27	51	35	64	
		Student 41	98	29	30	90	25	25	
		Student 42	49	78	86	12	58	80	
		Student 43	56	65	83	20	86	20	
		Student 44	18	12	63	81	30	48	
		Student 45	21	28	90	60	80	32	
		Student 46	16	79	56	50	51	61	
		Student 47	41	65	89	24	21	63	
		Student 48	65	41	89	62	84	94	
		Student 49	67	88	21	31	62	52	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	41	41	44	63	49	89	
		Student 1	31	19	34	45	41	26	
		Student 2	21	26	16	75	98	97	
		Student 3	76	16	51	38	98	76	
		Student 4	62	58	33	51	92	51	
		Student 5	10	83	32	66	65	44	
		Student 6	36	17	91	54	44	46	
		Student 7	35	35	19	27	98	57	
		Student 8	86	13	59	28	15	39	
		Student 9	62	86	41	17	33	48	
		Student 10	43	19	80	74	89	53	
		Student 11	64	99	39	62	76	20	
		Student 12	64	55	26	35	92	38	
		Student 13	93	44	32	55	90	51	
		Student 14	18	31	18	47	87	96	
		Student 15	52	36	84	44	88	47	
		Student 16	52	53	39	28	24	37	
		Student 17	52	63	42	69	18	67	
		Student 18	28	78	68	26	15	47	
		Student 19	18	29	51	89	54	68	
		Student 20	79	33	84	65	26	86	
		Student 21	60	26	88	30	21	40	
		Student 22	24	34	85	15	19	23	
		Student 23	40	77	55	81	50	81	
		Student 24	85	36	79	92	84	76	
		Student 25	17	25	53	10	63	80	
		Student 26	64	35	45	84	68	37	
		Student 27	30	40	30	35	34	55	
		Student 28	40	64	24	89	20	37	
		Student 29	71	39	69	48	10	75	
		Student 30	56	12	71	38	67	74	
		Student 31	13	67	71	35	61	37	
		Student 32	34	71	55	51	92	96	
		Student 33	61	36	93	45	41	40	
		Student 34	72	24	92	49	64	86	
		Student 35	85	99	18	61	38	85	
		Student 36	86	40	83	74	71	57	
		Student 37	80	20	85	45	55	85	
		Student 38	46	25	90	31	51	55	
		Student 39	68	12	44	47	60	95	
		Student 40	43	92	18	17	51	49	
		Student 41	83	93	58	42	37	69	
		Student 42	79	68	37	83	97	65	
		Student 43	87	84	96	36	88	36	
		Student 44	49	31	47	20	83	44	
		Student 45	27	54	37	74	22	90	
		Student 46	54	57	57	92	89	74	
		Student 47	33	90	13	52	37	94	
		Student 48	50	66	84	41	76	29	
		Student 49	13	17	11	76	84	14	
Program 3
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	64	21	51	56	14	50	
		Student 1	11	23	13	30	57	30	
		Student 2	11	84	83	90	82	76	
		Student 3	54	45	99	87	72	78	
		Student 4	91	40	23	59	36	20	
		Student 5	33	63	54	28	56	26	
		Student 6	49	85	17	65	44	99	
		Student 7	68	44	18	46	76	70	
		Student 8	55	96	51	16	96	22	
		Student 9	69	73	18	38	32	63	
		Student 10	62	94	28	98	72	42	
		Student 11	28	14	57	42	82	74	
		Student 12	75	92	61	87	40	53	
		Student 13	29	57	14	45	23	48	
		Student 14	55	94	23	10	57	70	
		Student 15	51	86	34	80	65	81	
		Student 16	70	54	12	40	77	76	
		Student 17	95	99	95	82	57	38	
		Student 18	96	30	49	10	37	90	
		Student 19	46	87	74	71	20	68	
		Student 20	45	29	17	69	33	84	
		Student 21	22	97	30	22	39	52	
		Student 22	27	15	30	42	83	10	
		Student 23	25	51	15	82	51	58	
		Student 24	51	41	75	28	93	60	
		Student 25	79	62	95	92	91	87	
		Student 26	82	49	83	60	75	14	
		Student 27	92	10	27	78	95	50	
		Student 28	71	52	16	18	48	73	
		Student 29	58	56	29	10	58	21	
		Student 30	32	40	67	10	61	57	
		Student 31	83	95	12	12	23	12	
		Student 32	44	20	65	67	94	94	
		Student 33	52	37	66	27	65	93	
		Student 34	69	56	93	14	14	56	
		Student 35	36	61	68	13	73	54	
		Student 36	14	72	19	64	18	63	
		Student 37	65	33	18	44	79	77	
		Student 38	99	83	32	18	37	74	
		Student 39	68	64	97	78	92	51	
		Student 40	98	78	22	79	50	78	
		Student 41	65	26	30	94	57	48	
		Student 42	99	40	33	91	76	67	
		Student 43	62	86	20	92	62	21	
		Student 44	10	11	21	75	42	29	
		Student 45	74	73	63	36	63	61	
		Student 46	31	13	73	26	57	62	
		Student 47	44	68	74	40	47	83	
		Student 48	24	37	79	75	74	47	
		Student 49	18	91	13	61	83	86	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	85	98	64	84	88	33	
		Student 1	30	85	93	72	24	37	
		Student 2	80	55	31	83	82	16	
		Student 3	66	45	15	60	53	63	
		Student 4	80	56	51	56	12	25	
		Student 5	94	57	28	98	26	47	
		Student 6	67	20	12	68	17	16	
		Student 7	39	75	33	65	98	92	
		Student 8	74	20	84	93	98	84	
		Student 9	88	70	74	47	91	45	
		Student 10	45	43	67	44	32	28	
		Student 11	93	47	46	74	68	85	
		Student 12	28	32	25	96	11	90	
		Student 13	41	73	21	74	22	54	
		Student 14	48	53	55	11	56	25	
		Student 15	23	97	52	45	98	68	
		Student 16	93	25	51	66	24	77	
		Student 17	31	27	96	44	86	73	
		Student 18	19	83	60	10	41	17	
		Student 19	21	17	60	41	38	26	
		Student 20	96	73	64	21	71	55	
		Student 21	93	85	18	32	97	45	
		Student 22	82	63	17	77	71	35	
		Student 23	61	95	21	58	44	12	
		Student 24	29	48	96	51	50	21	
		Student 25	50	75	52	30	55	79	
		Student 26	83	50	96	43	80	22	
		Student 27	74	63	28	59	93	69	
		Student 28	51	33	43	69	97	27	
		Student 29	54	94	72	60	76	23	
		Student 30	20	69	14	71	86	89	
		Student 31	84	71	49	89	70	95	
		Student 32	78	77	70	78	72	74	
		Student 33	49	75	15	42	52	48	
		Student 34	13	11	96	50	48	85	
		Student 35	68	37	18	66	50	12	
		Student 36	79	51	39	85	17	58	
		Student 37	99	38	37	50	73	74	
		Student 38	41	79	84	96	53	39	
		Student 39	22	20	44	92	54	85	
		Student 40	16	25	75	38	80	15	
		Student 41	84	34	19	46	72	89	
		Student 42	38	81	33	25	62	12	
		Student 43	63	10	70	30	21	69	
		Student 44	15	49	23	15	69	63	
		Student 45	61	68	71	66	63	23	
		Student 46	29	84	32	98	83	83	
		Student 47	28	66	73	29	31	95	
		Student 48	43	15	40	53	42	79	
		Student 49	82	58	45	61	36	38	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	19	42	11	89	73	34	
		Student 1	56	58	91	89	27	84	
		Student 2	93	13	46	50	37	24	
		Student 3	20	47	61	73	92	11	
		Student 4	10	87	63	88	94	83	
		Student 5	62	73	71	78	99	72	
		Student 6	62	81	30	76	45	27	
		Student 7	38	18	96	49	93	10	
		Student 8	55	77	57	75	49	89	
		Student 9	96	90	11	39	43	59	
		Student 10	80	90	38	53	67	21	
		Student 11	25	60	45	28	65	44	
		Student 12	34	73	86	49	19	80	
		Student 13	32	22	54	70	65	33	
		Student 14	51	69	49	10	50	88	
		Student 15	12	49	80	46	26	80	
		Student 16	48	21	89	52	82	95	
		Student 17	84	49	80	43	52	32	
		Student 18	87	81	97	29	62	78	
		Student 19	58	65	65	95	16	10	
		Student 20	13	96	69	57	96	74	
		Student 21	96	60	54	92	59	18	
		Student 22	60	46	94	77	81	81	
		Student 23	54	88	20	10	13	19	
		Student 24	42	70	61	40	71	40	
		Student 25	78	39	21	69	79	60	
		Student 26	29	71	19	96	48	80	
		Student 27	80	25	25	88	72	38	
		Student 28	16	32	38	69	37	58	
		Student 29	17	49	56	40	24	80	
		Student 30	57	66	38	14	24	94	
		Student 31	32	89	11	74	57	74	
		Student 32	97	78	79	96	65	87	
		Student 33	74	79	15	45	31	11	
		Student 34	66	25	88	58	60	75	
		Student 35	98	66	35	43	22	84	
		Student 36	33	31	60	25	64	52	
		Student 37	39	54	42	64	89	18	
		Student 38	16	34	54	17	57	28	
		Student 39	49	70	63	60	36	69	
		Student 40	44	74	38	51	62	43	
		Student 41	84	46	42	71	72	74	
		Student 42	82	12	34	68	77	91	
		Student 43	86	94	27	75	49	60	
		Student 44	49	78	10	12	92	29	
		Student 45	49	47	81	62	92	21	
		Student 46	69	85	78	71	99	74	
		Student 47	56	50	12	57	29	30	
		Student 48	11	88	21	56	37	53	
		Student 49	43	74	97	58	27	26	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	99	15	81	45	18	28	
		Student 1	80	11	81	59	26	49	
		Student 2	93	27	27	40	66	52	
		Student 3	41	34	43	80	37	46	
		Student 4	12	74	47	92	27	75	
		Student 5	45	26	19	16	90	27	
		Student 6	61	36	39	99	61	75	
		Student 7	91	49	91	87	38	25	
		Student 8	31	35	89	90	35	44	
		Student 9	94	35	13	90	18	43	
		Student 10	85	32	63	89	77	31	
		Student 11	82	31	70	57	89	97	
		Student 12	65	34	74	70	38	39	
		Student 13	60	39	99	17	37	22	
		Student 14	25	65	68	79	63	16	
		Student 15	49	15	85	66	90	17	
		Student 16	63	34	45	75	74	19	
		Student 17	87	31	69	11	16	99	
		Student 18	88	92	28	13	59	87	
		Student 19	17	59	38	13	68	19	
		Student 20	90	12	99	52	47	24	
		Student 21	81	53	70	11	66	29	
		Student 22	67	20	57	44	88	91	
		Student 23	46	58	73	78	36	94	
		Student 24	30	28	61	89	20	11	
		Student 25	51	86	57	18	83	93	
		Student 26	63	37	53	38	85	80	
		Student 27	32	94	59	91	69	24	
		Student 28	67	39	57	95	89	85	
		Student 29	31	33	56	75	19	13	
		Student 30	35	53	93	92	61	72	
		Student 31	75	17	48	16	61	82	
		Student 32	66	39	13	27	67	39	
		Student 33	14	48	71	96	33	80	
		Student 34	31	53	77	44	14	26	
		Student 35	67	91	17	31	56	95	
		Student 36	57	45	92	53	37	45	
		Student 37	81	51	13	24	25	31	
		Student 38	73	22	88	84	15	49	
		Student 39	21	28	84	57	28	92	
		Student 40	47	67	12	23	98	97	
		Student 41	71	72	77	44	30	47	
		Student 42	57	18	59	37	60	87	
		Student 43	90	23	49	36	88	87	
		Student 44	70	73	53	81	89	69	
		Student 45	83	18	37	62	44	62	
		Student 46	30	48	89	65	74	23	
		Student 47	44	61	98	55	25	96	
		Student 48	94	53	17	28	88	48	
		Student 49	73	87	32	64	80	89	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
